MeterNo,MeterType,LONG,LAT,Status,Borough
1019684,Strada,-73.9524625523,40.8111168469,Active,Manhattan
1019685,Strada,-73.9559203261,40.8140177568,Active,Manhattan
1019674,Strada,-73.9455624497,40.8074364956,Active,Manhattan
1019672,Strada,-73.9453619232,40.8081649371,Active,Manhattan
1019673,Strada,-73.9459702962,40.807333719,Active,Manhattan
1019677,Strada,-73.9483782395,40.8086107365,Active,Manhattan
1019675,Strada,-73.9482091219,40.8094202939,Active,Manhattan
1019676,Strada,-73.9487200761,40.8087158295,Active,Manhattan
1019678,Strada,-73.9510389731,40.8105201639,Active,Manhattan
1019680,Strada,-73.9513408854,40.8097595854,Active,Manhattan
1019679,Strada,-73.9514868306,40.8099025298,Active,Manhattan
1019682,Strada,-73.9520738042,40.8113065469,Active,Manhattan
1019681,Strada,-73.9523873546,40.8108760498,Active,Manhattan
1019683,Strada,-73.9527649033,40.8103585828,Inactive,Manhattan
3051337,Strada,-73.9622559739,40.6077513056,Active,Brooklyn
3051312,Strada,-73.9633474023,40.6069421745,Active,Brooklyn
3051311,Strada,-73.9627405751,40.6071306035,Active,Brooklyn
3051331,Strada,-73.9637600145,40.6072219875,Active,Brooklyn
3051332,Strada,-73.9638576809,40.6071739656,Active,Brooklyn
3051313,Strada,-73.9641355163,40.6066976289,Active,Brooklyn
3051335,Strada,-73.9646346986,40.6068646007,Active,Brooklyn
3051336,Strada,-73.9647047939,40.606658908,Active,Brooklyn
3051314,Strada,-73.965386813,40.6062763099,Active,Brooklyn
3013645,Strada,-73.9852477642,40.6917224404,Active,Brooklyn
3013666,Strada,-73.98623366,40.6919009155,Active,Brooklyn
3013667,Strada,-73.9863498517,40.6916940239,Active,Brooklyn
3013588,Strada,-73.984952203,40.6921030445,Active,Brooklyn
3013589,Strada,-73.9857779959,40.6921334284,Active,Brooklyn
3013590,Strada,-73.9868736249,40.6921747336,Active,Brooklyn
3013664,Strada,-73.98217823,40.689908033,Active,Brooklyn
3013663,Strada,-73.9821719674,40.6899908082,Active,Brooklyn
3013691,Strada,-73.979188368,40.68979532,Active,Brooklyn
3013668,Strada,-73.9811065282,40.6895440745,Active,Brooklyn
3013675,Strada,-73.9813960194,40.6894509321,Active,Brooklyn
3013674,Strada,-73.9818080141,40.6902798222,Active,Brooklyn
3013673,Strada,-73.9820302753,40.6907262704,Inactive,Brooklyn
